Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
50:51.2,4747
50:51.4,4380
50:51.6,4028
50:51.8,3672
50:52.0,3301
50:52.2,2937
50:52.4,2587
50:52.6,2222
50:52.8,1849
50:53.0,1485
50:53.2,1141
50:53.4,799
50:53.6,434
50:53.8,172
50:54.0,179
50:54.2,179
50:54.4,179
50:54.6,179
50:54.8,179
50:55.0,179
50:55.2,179
50:55.4,179
50:55.6,179
50:55.8,179
50:56.0,179
50:56.2,179
50:56.4,179
50:56.6,179
50:56.8,179
50:57.0,179
50:57.2,179
50:57.4,179
50:57.6,179
50:57.8,179
50:58.0,543
50:58.2,920
50:58.4,1295
50:58.6,1673
50:58.8,2066
50:59.0,2454
50:59.2,2814
50:59.4,3170
50:59.6,3546
50:59.8,3908
51:00.0,4261
51:00.2,4612
51:00.4,4984
51:00.6,5345
51:00.8,5704
51:01.0,6066
51:01.2,6445
51:01.4,6821
51:01.6,7178
51:01.8,7543
51:02.0,7926
51:02.2,8304
51:02.4,8672
51:02.6,9052
51:02.8,9441
51:03.0,9819
51:03.2,10187
51:03.4,10564
51:03.6,10941
51:03.8,11309
51:04.0,11347
51:04.2,11347
51:04.4,11347
51:04.6,11347
51:04.8,11347
51:05.0,11347
51:05.2,11347
51:05.4,11347
51:05.6,11347
51:05.8,11347
51:06.0,11347
51:06.2,11347
51:06.4,11347
51:06.6,11347
51:06.8,11347
51:07.0,11347
51:07.2,11347
51:07.4,11347
51:07.6,11347
51:07.8,11347
51:08.0,11347
51:08.2,11027
51:08.4,10654
51:08.6,10275
51:08.8,9899
51:09.0,9534
51:09.2,9156
51:09.4,8797
51:09.6,8447
51:09.8,8099
51:10.0,7745
51:10.2,7394
51:10.4,7045
51:10.6,6691
51:10.8,6334
51:11.0,5980
51:11.2,5628
51:11.4,5276
51:11.6,4919
51:11.8,4557
51:12.0,4208
51:12.2,3870
51:12.4,3518
51:12.6,3158
51:12.8,2810
51:13.0,2467
51:13.2,2099
51:13.4,1740
51:13.6,1387
51:13.8,1059
51:14.0,713
51:14.2,370
51:14.4,177
51:14.6,175
51:14.8,175
51:15.0,175
51:15.2,175
51:15.4,175
51:15.6,175
51:15.8,175
51:16.0,175
51:16.2,175
51:16.4,175
51:16.6,175
51:16.8,175
51:17.0,175
51:17.2,175
51:17.4,175
51:17.6,175
51:17.8,175
51:18.0,175
51:18.2,175
51:18.4,480
51:18.6,864
51:18.8,1240
51:19.0,1614
51:19.2,2007
51:19.4,2395
51:19.6,2765
51:19.8,3117
51:20.0,3493
51:20.2,3857
51:20.4,4209
51:20.6,4561
51:20.8,4934
51:21.0,5302
51:21.2,5656
51:21.4,6013
51:21.6,6390
51:21.8,6761
51:22.0,7123
51:22.2,7489
51:22.4,7871
51:22.6,8240
51:22.8,8610
51:23.0,8985
51:23.2,9381
51:23.4,9766
51:23.6,10127
51:23.8,10502
51:24.0,10889
51:24.2,11253
51:24.3,11353
51:24.5,11353
51:24.7,11353
51:24.9,11353
51:25.1,11353
51:25.3,11353
51:25.5,11353
51:25.7,11353
51:25.9,11353
51:26.1,11353
51:26.3,11353
51:26.5,11353
51:26.7,11353
51:26.9,11353
51:27.1,11353
51:27.3,11353
51:27.5,11353
51:27.7,11353
51:27.9,11353
51:28.1,11353
51:28.3,11353
51:28.5,11087
51:28.7,10700
51:28.9,10314
51:29.1,9925
51:29.3,9553
51:29.5,9165
51:29.7,8791
51:29.9,8441
51:30.1,8085
51:30.3,7717
51:30.5,7354
51:30.7,6991
51:30.9,6637
51:31.1,6268
51:31.3,5906
51:31.5,5542
51:31.7,5179
51:31.9,4813
51:32.1,4440
51:32.3,4086
51:32.5,3733
51:32.7,3370
51:32.9,3006
51:33.1,2648
51:33.3,2288
51:33.5,1917
51:33.7,1554
51:33.9,1204
51:34.1,861
51:34.3,510
51:34.5,206
51:34.7,215
51:34.9,215
51:35.1,215
51:35.3,215
51:35.5,215
51:35.7,215
51:35.9,215
51:36.1,215
51:36.3,215
51:36.5,215
51:36.7,215
51:36.9,215
51:37.1,215
51:37.3,215
51:37.5,215
51:37.7,215
51:37.9,215
51:38.1,215
51:38.3,215
51:38.5,215
51:38.7,464
51:38.9,844
51:39.1,1224
51:39.3,1598
51:39.5,1994
51:39.7,2389
51:39.9,2759
51:40.1,3107
51:40.3,3482
51:40.5,3842
51:40.7,4197
51:40.9,4552
51:41.1,4924
51:41.3,5292
51:41.5,5647
51:41.7,6007
51:41.9,6388
51:42.1,6757
51:42.3,7120
51:42.5,7483
51:42.7,7868
51:42.9,8239
51:43.1,8607
51:43.3,8987
51:43.5,9382
51:43.7,9764
51:43.9,10128
51:44.1,10505
51:44.3,10887
51:44.5,11252
51:44.7,11407
51:44.9,11408
51:45.1,11408
51:45.3,11408
51:45.5,11408
51:45.7,11408
51:45.9,11408
51:46.1,11408
51:46.3,11408
51:46.5,11408
51:46.7,11408
51:46.9,11408
51:47.1,11408
51:47.3,11408
51:47.5,11408
51:47.7,11408
51:47.9,11408
51:48.1,11408
51:48.3,11408
51:48.5,11408
51:48.7,11408
51:48.9,11200
51:49.1,10829
51:49.3,10444
51:49.5,10060
51:49.7,9695
51:49.9,9315
51:50.1,8943
51:50.3,8591
51:50.5,8243
51:50.7,7880
51:50.9,7514
51:51.1,7165
51:51.3,6822
51:51.5,6457
51:51.7,6095
51:51.9,5741
51:52.1,5388
51:52.3,5026
51:52.5,4658
51:52.7,4300
51:52.9,3957
51:53.1,3595
51:53.3,3233
51:53.5,2879
51:53.7,2535
51:53.9,2175
51:54.1,1807
51:54.3,1445
51:54.5,1112
51:54.7,766
51:54.9,415
51:55.1,211
51:55.3,210
51:55.5,210
51:55.7,210
51:55.9,210
51:56.1,210
51:56.3,210
51:56.5,210
51:56.7,210
51:56.9,210
51:57.1,210
51:57.3,210
51:57.5,210
51:57.7,210
51:57.9,210
51:58.1,210
51:58.3,210
51:58.5,210
51:58.7,210
51:58.9,210
51:59.1,399
51:59.3,787
51:59.5,1155
51:59.7,1530
51:59.9,1920
52:00.1,2314
52:00.3,2689
52:00.5,3040
52:00.7,3410
52:00.9,3772
52:01.1,4131
52:01.3,4479
52:01.5,4847
52:01.7,5213
52:01.9,5576
52:02.1,5936
52:02.3,6307
52:02.5,6686
52:02.7,7046
52:02.9,7408
52:03.1,7794
52:03.3,8170
52:03.5,8535
52:03.7,8911
52:03.9,9301
52:04.1,9683
52:04.3,10053
52:04.5,10431
52:04.7,10811
52:04.9,11181
52:05.1,11398
52:05.3,11398
52:05.5,11398
52:05.7,11398
52:05.9,11398
52:06.1,11398
52:06.3,11398
52:06.5,11398
52:06.7,11398
52:06.9,11398
52:07.1,11398
52:07.3,11398
52:07.5,11398
52:07.7,11398
52:07.9,11398
52:08.1,11398
52:08.3,11398
52:08.5,11398
52:08.7,11398
52:08.9,11398
52:09.1,11398
52:09.3,11254
52:09.5,10877
52:09.7,10500
52:09.9,10123
52:10.1,9755
52:10.3,9385
52:10.5,9012
52:10.7,8658
52:10.9,8313
52:11.1,7966
52:11.3,7607
52:11.5,7254
52:11.7,6905
52:11.9,6557
52:12.1,6186
52:12.3,5844
52:12.5,5493
52:12.7,5143
52:12.9,4778
52:13.1,4420
52:13.3,4073
52:13.5,3728
52:13.7,3365
52:13.9,3009
52:14.1,2665
52:14.3,2321
52:14.5,1954
52:14.7,1603
52:14.9,1256
52:15.1,919
52:15.3,580
52:15.5,229
52:15.7,171
52:15.9,171
52:16.1,171
52:16.3,171
52:16.5,171
52:16.7,171
52:16.9,171
52:17.1,171
52:17.3,171
52:17.5,171
52:17.7,171
52:17.9,171
52:18.1,171
52:18.3,171
52:18.5,171
52:18.7,171
52:18.9,171
52:19.1,171
52:19.3,171
52:19.5,298
52:19.7,688
52:19.9,1063
52:20.1,1439
52:20.3,1824
52:20.5,2226
52:20.7,2604
52:20.9,2961
52:21.1,3321
52:21.3,3692
52:21.5,4053
52:21.7,4403
52:21.9,4763
52:22.1,5136
52:22.3,5497
52:22.5,5851
52:22.7,6225
52:22.9,6606
52:23.1,6971
52:23.3,7329
52:23.5,7706
52:23.7,8083
52:23.9,8456
52:24.1,8826
52:24.3,9217
52:24.5,9606
52:24.7,9984
52:24.9,10349
52:25.1,10732
52:25.3,11110
52:25.5,11377
52:25.7,11376
52:25.9,11376
52:26.1,11376
52:26.3,11376
52:26.5,11376
52:26.7,11376
52:26.9,11376
52:27.1,11376
52:27.3,11376
52:27.5,11376
52:27.7,11376
52:27.9,11376
52:28.1,11376
52:28.3,11376
52:28.5,11376
52:28.7,11376
52:28.9,11376
52:29.1,11376
52:29.3,11376
52:29.5,11376
52:29.7,11288
52:29.9,10906
52:30.1,10510
52:30.3,10129
52:30.5,9752
52:30.7,9372
52:30.9,8992
52:31.1,8623
52:31.3,8278
52:31.5,7910
52:31.7,7540
52:31.8,7183
52:32.0,6831
52:32.2,6464
52:32.4,6093
52:32.6,5730
52:32.8,5378
52:33.0,5009
52:33.2,4630
52:33.4,4273
52:33.6,3925
52:33.8,3557
52:34.0,3189
52:34.2,2833
52:34.4,2486
52:34.6,2116
52:34.8,1741
52:35.0,1381
52:35.2,1043
52:35.4,690
52:35.6,335
52:35.8,177
52:36.0,177
52:36.2,177
52:36.4,177
52:36.6,177
52:36.8,177
52:37.0,177
52:37.2,177
52:37.4,177
52:37.6,177
52:37.8,177
52:38.0,177
52:38.2,177
52:38.4,177
52:38.6,177
52:38.8,177
52:39.0,177
52:39.2,177
52:39.4,177
52:39.6,177
52:39.8,243
52:40.0,630
52:40.2,997
52:40.4,1371
52:40.6,1741
52:40.8,2135
52:41.0,2505
52:41.2,2863
52:41.4,3210
52:41.6,3578
52:41.8,3937
52:42.0,4281
52:42.2,4631
52:42.4,4998
52:42.6,5358
52:42.8,5711
52:43.0,6061
52:43.2,6435
52:43.4,6800
52:43.6,7161
52:43.8,7518
52:44.0,7898
52:44.2,8261
52:44.4,8624
52:44.6,8996
52:44.8,9383
52:45.0,9755
52:45.2,10115
52:45.4,10482
52:45.6,10862
52:45.8,11220
52:46.0,11329
52:46.2,11329
52:46.4,11329
52:46.6,11329
52:46.8,11329
52:47.0,11329
52:47.2,11329
52:47.4,11329
52:47.6,11329
52:47.8,11329
52:48.0,11329
52:48.2,11329
52:48.4,11329
52:48.6,11329
52:48.8,11329
52:49.0,11329
52:49.2,11329
52:49.4,11329
52:49.6,11329
52:49.8,11329
52:50.0,11297
52:50.2,10918
52:50.4,10529
52:50.6,10149
52:50.8,9779
52:51.0,9406
52:51.2,9028
52:51.4,8667
52:51.6,8323
52:51.8,7972
52:52.0,7609
52:52.2,7258
52:52.4,6907
52:52.6,6560
52:52.8,6193
52:53.0,5834
52:53.2,5487
52:53.4,5136
52:53.6,4765
52:53.8,4411
52:54.0,4062
52:54.2,3717
52:54.4,3354
52:54.6,3002
52:54.8,2652
52:55.0,2298
52:55.2,1933
52:55.4,1575
52:55.6,1222
52:55.8,895
52:56.0,546
52:56.2,198
52:56.4,195
52:56.6,195
52:56.8,195
52:57.0,195
52:57.2,195
52:57.4,195
52:57.6,195
52:57.8,195
52:58.0,195
52:58.2,195
52:58.4,195
52:58.6,195
52:58.8,195
52:59.0,195
52:59.2,195
52:59.4,195
52:59.6,195
52:59.8,195
53:00.0,195
53:00.2,208
53:00.4,594
53:00.6,965
53:00.8,1329
53:01.0,1704
53:01.2,2094
53:01.4,2471
53:01.6,2826
53:01.8,3177
53:02.0,3544
53:02.2,3896
53:02.4,4244
53:02.6,4592
53:02.8,4958
53:03.0,5314
53:03.2,5673
53:03.4,6024
53:03.6,6394
53:03.8,6761
53:04.0,7117
53:04.2,7478
53:04.4,7851
53:04.6,8221
53:04.8,8580
53:05.0,8946
53:05.2,9333
53:05.4,9713
53:05.6,10069
53:05.8,10434
53:06.0,10818
53:06.2,11180
53:06.4,11333
53:06.6,11333
53:06.8,11333
53:07.0,11333
53:07.2,11333
53:07.4,11333
53:07.6,11333
53:07.8,11333
53:08.0,11333
53:08.2,11333
53:08.4,11333
53:08.6,11333
53:08.8,11333
53:09.0,11333
53:09.2,11333
53:09.4,11333
53:09.6,11333
53:09.8,11333
